"date","hour","total_trips"
2024-03-12,3,22
2024-03-12,4,32
2024-03-12,5,74
2024-03-12,6,241
2024-03-12,7,523
2024-03-12,8,1299
2024-03-12,9,811
2024-03-12,10,472
2024-03-12,11,524
2024-03-12,12,696
2024-03-12,13,592
2024-03-12,14,682
2024-03-12,15,762
2024-03-12,16,1240
2024-03-12,17,1874
2024-03-12,18,1576
2024-03-12,19,1143
2024-03-12,20,709
2024-03-12,21,523
2024-03-12,22,377
2024-03-12,23,232
2024-03-13,0,93
2024-03-13,1,62
2024-03-13,2,33
2024-03-13,3,23
2024-03-13,4,21
2024-03-13,5,85
2024-03-13,6,257
2024-03-13,7,581
2024-03-13,8,1378
2024-03-13,9,875
2024-03-13,10,555
2024-03-13,11,584
2024-03-13,12,745
2024-03-13,13,792
2024-03-13,14,896
2024-03-13,15,1094
2024-03-13,16,1652
2024-03-13,17,2594
2024-03-13,18,2052
2024-03-13,19,1461
2024-03-13,20,867
2024-03-13,21,573
2024-03-13,22,443
2024-03-13,23,328
2024-03-14,0,149
2024-03-14,1,83
2024-03-14,2,41
2024-03-14,3,27
2024-03-14,4,28
2024-03-14,5,99
2024-03-14,6,248
2024-03-14,7,526
2024-03-14,8,1304
2024-03-14,9,771
2024-03-14,10,428
2024-03-14,11,538
2024-03-14,12,624
2024-03-14,13,609
2024-03-14,14,612
2024-03-14,15,664
2024-03-14,16,522
2024-03-14,17,517
2024-03-14,18,332
2024-03-14,19,273
2024-03-14,20,161
2024-03-14,21,107
2024-03-14,22,145
2024-03-14,23,135
2024-03-15,0,83
2024-03-15,1,57
2024-03-15,2,41
2024-03-15,3,24
2024-03-15,4,22
2024-03-15,5,85
2024-03-15,6,205
2024-03-15,7,392
2024-03-15,8,800
2024-03-15,9,621
2024-03-15,10,449
2024-03-15,11,585
2024-03-15,12,695
2024-03-15,13,709
2024-03-15,14,709
2024-03-15,15,860
2024-03-15,16,1105
2024-03-15,17,1343
2024-03-15,18,1262
2024-03-15,19,978
2024-03-15,20,666
2024-03-15,21,483
2024-03-15,22,366
2024-03-15,23,265
2024-03-16,0,224
2024-03-16,1,158
2024-03-16,2,141
2024-03-16,3,56
2024-03-16,4,37
2024-03-16,5,34
2024-03-16,6,64
2024-03-16,7,134
2024-03-16,8,243
2024-03-16,9,440
2024-03-16,10,517
2024-03-16,11,617
2024-03-16,12,744
2024-03-16,13,774
2024-03-16,14,823
2024-03-16,15,870
2024-03-16,16,853
2024-03-16,17,774
2024-03-16,18,719
2024-03-16,19,609
2024-03-16,20,270
2024-03-16,21,260
2024-03-16,22,256
2024-03-16,23,244
2024-03-17,0,206
2024-03-17,1,206
2024-03-17,2,137
2024-03-17,3,73
2024-03-17,4,36
2024-03-17,5,38
2024-03-17,6,65
2024-03-17,7,126
2024-03-17,8,169
2024-03-17,9,284
2024-03-17,10,451
2024-03-17,11,441
2024-03-17,12,532
2024-03-17,13,605
2024-03-17,14,529
2024-03-17,15,598
2024-03-17,16,608
2024-03-17,17,614
2024-03-17,18,576
2024-03-17,19,481
2024-03-17,20,342
2024-03-17,21,294
2024-03-17,22,207
2024-03-17,23,134
2024-03-18,0,80
2024-03-18,1,51
2024-03-18,2,30
2024-03-18,3,22
2024-03-18,4,21
2024-03-18,5,71
2024-03-18,6,201
2024-03-18,7,400
2024-03-18,8,955
2024-03-18,9,553
2024-03-18,10,325
2024-03-18,11,349
2024-03-18,12,419
2024-03-18,13,372
2024-03-18,14,422
2024-03-18,15,468
2024-03-18,16,731
2024-03-18,17,1110
2024-03-18,18,893
2024-03-18,19,660
2024-03-18,20,450
2024-03-18,21,325
2024-03-18,22,229
2024-03-18,23,143
2024-03-19,0,84
2024-03-19,1,42
2024-03-19,2,21
2024-03-19,3,15
2024-03-19,4,20
2024-03-19,5,86
2024-03-19,6,238
2024-03-19,7,498
2024-03-19,8,1149
2024-03-19,9,669
2024-03-19,10,366
2024-03-19,11,372
2024-03-19,12,446
2024-03-19,13,319
2024-03-19,14,242
2024-03-19,15,252
2024-03-19,16,426
2024-03-19,17,816
2024-03-19,18,684
2024-03-19,19,542
2024-03-19,20,432
2024-03-19,21,325
2024-03-19,22,247
2024-03-19,23,131
2024-03-20,0,84
2024-03-20,1,37
2024-03-20,2,31
2024-03-20,3,13
2024-03-20,4,20
2024-03-20,5,87
2024-03-20,6,183
2024-03-20,7,325
2024-03-20,8,802
2024-03-20,9,582
2024-03-20,10,349
2024-03-20,11,370
2024-03-20,12,443
2024-03-20,13,432
2024-03-20,14,400
2024-03-20,15,536
2024-03-20,16,730
2024-03-20,17,1020
2024-03-20,18,894
2024-03-20,19,565
2024-03-20,20,430
2024-03-20,21,339
2024-03-20,22,229
2024-03-20,23,149
2024-03-21,0,66
2024-03-21,1,40
2024-03-21,2,23
2024-03-21,3,17
2024-03-21,4,29
2024-03-21,5,69
2024-03-21,6,180
2024-03-21,7,397
2024-03-21,8,919
2024-03-21,9,607
2024-03-21,10,336
2024-03-21,11,386
2024-03-21,12,459
2024-03-21,13,412
2024-03-21,14,376
2024-03-21,15,507
2024-03-21,16,766
2024-03-21,17,1075
2024-03-21,18,880
2024-03-21,19,628
2024-03-21,20,449
2024-03-21,21,339
2024-03-21,22,267
2024-03-21,23,165
2024-03-22,0,86
2024-03-22,1,49
2024-03-22,2,27
2024-03-22,3,26
2024-03-22,4,20
2024-03-22,5,66
2024-03-22,6,154
2024-03-22,7,347
2024-03-22,8,723
2024-03-22,9,543
2024-03-22,10,285
2024-03-22,11,232
2024-03-22,12,245
2024-03-22,13,264
2024-03-22,14,277
2024-03-22,15,193
2024-03-22,16,194
2024-03-22,17,200
2024-03-22,18,177
2024-03-22,19,142
2024-03-22,20,128
2024-03-22,21,86
2024-03-22,22,62
2024-03-22,23,42
2024-03-23,0,28
2024-03-23,1,24
2024-03-23,2,19
2024-03-23,3,8
2024-03-23,4,10
2024-03-23,5,7
2024-03-23,6,21
2024-03-23,7,33
2024-03-23,8,74
2024-03-23,9,108
2024-03-23,10,149
2024-03-23,11,248
2024-03-23,12,278
2024-03-23,13,316
2024-03-23,14,389
2024-03-23,15,446
2024-03-23,16,433
2024-03-23,17,479
2024-03-23,18,472
2024-03-23,19,443
2024-03-23,20,248
2024-03-23,21,235
2024-03-23,22,177
2024-03-23,23,151
2024-03-24,0,98
2024-03-24,1,102
2024-03-24,2,67
2024-03-24,3,26
2024-03-24,4,25
2024-03-24,5,27
2024-03-24,6,50
2024-03-24,7,88
2024-03-24,8,149
2024-03-24,9,257
2024-03-24,10,343
2024-03-24,11,394
